EbN0_dB,BER,FER
3.500000000000000000e+00,1.480000000000000000e+02,1.639999999999999968e-06
3.500000000000000000e+00,1.520000000000000000e+02,1.650000000000000084e-06
3.500000000000000000e+00,1.530000000000000000e+02,1.610000000000000044e-06
3.500000000000000000e+00,1.560000000000000000e+02,1.610000000000000044e-06
3.500000000000000000e+00,1.620000000000000000e+02,1.630000000000000064e-06
3.500000000000000000e+00,1.700000000000000000e+02,1.670000000000000104e-06
3.500000000000000000e+00,1.740000000000000000e+02,1.659999999999999988e-06
3.500000000000000000e+00,1.790000000000000000e+02,1.670000000000000104e-06
3.500000000000000000e+00,1.800000000000000000e+02,1.650000000000000084e-06
3.500000000000000000e+00,1.860000000000000000e+02,1.659999999999999988e-06
3.500000000000000000e+00,1.910000000000000000e+02,1.689999999999999913e-06
3.500000000000000000e+00,1.960000000000000000e+02,1.689999999999999913e-06
3.500000000000000000e+00,2.000000000000000000e+02,1.709999999999999933e-06
4.000000000000000000e+00,1.000000000000000000e+00,4.599999999999999898e-07
4.000000000000000000e+00,1.000000000000000000e+00,2.320000000000000128e-07
4.000000000000000000e+00,2.000000000000000000e+00,2.580000000000000074e-07
4.000000000000000000e+00,2.000000000000000000e+00,1.939999999999999902e-07
4.000000000000000000e+00,2.000000000000000000e+00,1.549999999999999983e-07
4.000000000000000000e+00,2.000000000000000000e+00,1.299999999999999994e-07
4.000000000000000000e+00,3.000000000000000000e+00,1.710000000000000092e-07
4.000000000000000000e+00,4.000000000000000000e+00,1.960000000000000081e-07
4.000000000000000000e+00,4.000000000000000000e+00,1.739999999999999964e-07
4.000000000000000000e+00,4.000000000000000000e+00,1.559999999999999940e-07
4.000000000000000000e+00,4.000000000000000000e+00,1.429999999999999967e-07
4.000000000000000000e+00,4.000000000000000000e+00,1.309999999999999951e-07
4.000000000000000000e+00,4.000000000000000000e+00,1.210000000000000115e-07
4.000000000000000000e+00,4.000000000000000000e+00,1.130000000000000060e-07
4.000000000000000000e+00,5.000000000000000000e+00,1.439999999999999924e-07
4.000000000000000000e+00,5.000000000000000000e+00,1.350000000000000045e-07
4.000000000000000000e+00,5.000000000000000000e+00,1.270000000000000123e-07
4.000000000000000000e+00,5.000000000000000000e+00,1.199999999999999893e-07
4.000000000000000000e+00,7.000000000000000000e+00,1.660000000000000041e-07
4.000000000000000000e+00,8.000000000000000000e+00,1.790000000000000014e-07
4.000000000000000000e+00,9.000000000000000000e+00,1.950000000000000124e-07
4.000000000000000000e+00,1.000000000000000000e+01,2.049999999999999960e-07
4.000000000000000000e+00,1.000000000000000000e+01,1.970000000000000038e-07
4.000000000000000000e+00,1.000000000000000000e+01,1.879999999999999894e-07
4.000000000000000000e+00,1.000000000000000000e+01,1.809999999999999929e-07
4.000000000000000000e+00,1.100000000000000000e+01,1.879999999999999894e-07
4.000000000000000000e+00,1.100000000000000000e+01,1.809999999999999929e-07
4.000000000000000000e+00,1.100000000000000000e+01,1.749999999999999921e-07
4.000000000000000000e+00,1.100000000000000000e+01,1.689999999999999913e-07
4.000000000000000000e+00,1.200000000000000000e+01,1.840000000000000065e-07
4.000000000000000000e+00,1.300000000000000000e+01,1.869999999999999937e-07
4.000000000000000000e+00,1.300000000000000000e+01,1.809999999999999929e-07
4.000000000000000000e+00,1.400000000000000000e+01,1.850000000000000022e-07
4.000000000000000000e+00,1.400000000000000000e+01,1.799999999999999971e-07
4.000000000000000000e+00,1.400000000000000000e+01,1.749999999999999921e-07
4.000000000000000000e+00,1.400000000000000000e+01,1.699999999999999870e-07
4.000000000000000000e+00,1.400000000000000000e+01,1.660000000000000041e-07
4.000000000000000000e+00,1.400000000000000000e+01,1.609999999999999991e-07
4.000000000000000000e+00,1.500000000000000000e+01,1.699999999999999870e-07
4.000000000000000000e+00,1.500000000000000000e+01,1.650000000000000084e-07
4.000000000000000000e+00,1.500000000000000000e+01,1.609999999999999991e-07
4.000000000000000000e+00,1.500000000000000000e+01,1.580000000000000119e-07
4.000000000000000000e+00,1.500000000000000000e+01,1.540000000000000026e-07
4.000000000000000000e+00,1.500000000000000000e+01,1.499999999999999932e-07
4.000000000000000000e+00,1.500000000000000000e+01,1.470000000000000061e-07
4.000000000000000000e+00,1.500000000000000000e+01,1.439999999999999924e-07
4.000000000000000000e+00,1.600000000000000000e+01,1.470000000000000061e-07
4.000000000000000000e+00,1.600000000000000000e+01,1.439999999999999924e-07
4.000000000000000000e+00,1.600000000000000000e+01,1.410000000000000053e-07
4.000000000000000000e+00,1.700000000000000000e+01,1.470000000000000061e-07
4.000000000000000000e+00,1.700000000000000000e+01,1.449999999999999881e-07
4.000000000000000000e+00,1.800000000000000000e+01,1.530000000000000068e-07
4.000000000000000000e+00,1.900000000000000000e+01,1.580000000000000119e-07
4.000000000000000000e+00,2.100000000000000000e+01,1.730000000000000006e-07
4.000000000000000000e+00,2.100000000000000000e+01,1.699999999999999870e-07
4.000000000000000000e+00,2.200000000000000000e+01,1.830000000000000108e-07
4.000000000000000000e+00,2.200000000000000000e+01,1.799999999999999971e-07
4.000000000000000000e+00,2.300000000000000000e+01,1.840000000000000065e-07
4.000000000000000000e+00,2.300000000000000000e+01,1.809999999999999929e-07
4.000000000000000000e+00,2.400000000000000000e+01,1.879999999999999894e-07
